Dutch	3	188041113	4540
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	7064411	0.027222678
			2)	ens	84	404351	0.0015581648
			3)	end	98	368061	0.0014183215
			4)	ent	101	360846	0.0013905185
			5)	ene	247	156407	6.027137E-4
			6)	eni	286	129351	4.984535E-4
			7)	enk	353	107032	4.1244735E-4
			8)	eno	413	93028	3.58483E-4
			9)	enw	586	66150	2.5490875E-4
			10)	enl	599	64093	2.4698212E-4
			11)	eng	606	63315	2.4398409E-4
			12)	enh	757	47579	1.8334547E-4
			13)	ena	769	45955	1.770874E-4
			14)	enr	1033	27780	1.0705011E-4
			15)	enn	1038	27268	1.05077124E-4
			16)	enb	1171	21510	8.288869E-5
			17)	env	1194	20611	7.9424404E-5
			18)	enz	1308	17088	6.584854E-5
			19)	enm	1527	12069	4.650784E-5
			20)	enu	1579	11168	4.303584E-5
			21)	enp	2093	5013	1.9317575E-5
			22)	en”	2362	3348	1.2901504E-5
			23)	enc	2477	2801	1.0793642E-5
			24)	enf	3202	1029	3.9652473E-6
			25)	enj	3874	449	1.7302197E-6
			26)	enq	3951	408	1.5722263E-6
		2)	et	0	0	0.0
			1)	et_	5	2103302	0.008105066
			2)	ete	129	300032	0.001156172
			3)	etr	280	131201	5.055825E-4
			4)	ett	687	54904	2.1157233E-4
			5)	ets	886	37504	1.445215E-4
			6)	etg	897	36405	1.4028652E-4
			7)	eta	991	30481	1.174584E-4
			8)	eti	1428	14191	5.468496E-5
			9)	etw	1523	12182	4.6943285E-5
			10)	eto	1675	9351	3.603404E-5
			11)	eth	1687	9203	3.5463723E-5
			12)	etz	1880	6920	2.666619E-5
			13)	etu	2075	5190	1.9999643E-5
			14)	etn	2403	3138	1.209227E-5
			15)	etj	2456	2903	1.1186698E-5
			16)	etb	2466	2859	1.1017144E-5
			17)	etv	2985	1373	5.29085E-6
			18)	etc	3378	833	3.209962E-6
			19)	etm	3444	772	2.9748987E-6
			20)	etd	3531	672	2.5895492E-6
			21)	etl	3617	608	2.3429254E-6
			22)	etk	3694	552	2.1271296E-6
			23)	etp	3798	493	1.8997735E-6
		3)	er	0	0	0.0
			1)	er_	11	1269697	0.004892772
			2)	ere	48	612364	0.002359742
			3)	ers	58	538299	0.002074333
			4)	erk	117	326419	0.0012578543
			5)	erd	119	319677	0.001231874
