Portuguese	3	12085692	2375
	1)	o	0	0	0.0
		1)	os	0	0	0.0
			1)	os_	1	196198	0.011503012
			2)	oss	147	16292	9.551936E-4
			3)	ost	178	14185	8.3166105E-4
			4)	osi	569	4658	2.7309672E-4
			5)	osa	1100	1885	1.1051681E-4
			6)	oso	1117	1838	1.07761225E-4
			7)	ose	2188	274	1.6064514E-5
			8)	osp	2268	239	1.4012477E-5
		2)	or	0	0	0.0
			1)	or_	48	39550	0.0023188011
			2)	ora	157	15854	9.2951383E-4
			3)	ort	179	14028	8.2245615E-4
			4)	orm	191	13321	7.81005E-4
			5)	ore	278	9380	5.4994575E-4
			6)	ord	299	8803	5.1611644E-4
			7)	ori	350	7634	4.4757844E-4
			8)	orç	539	4977	2.9179957E-4
			9)	orr	552	4784	2.8048406E-4
			10)	orn	892	2583	1.5144028E-4
			11)	orq	935	2431	1.4252859E-4
			12)	org	1101	1884	1.1045818E-4
			13)	oré	1540	880	5.1594056E-5
			14)	oro	1571	811	4.7548612E-5
			15)	orá	1699	664	3.8930062E-5
			16)	orc	1950	424	2.4858955E-5
			17)	orp	2134	301	1.7647513E-5
		3)	on	0	0	0.0
			1)	ont	89	25570	0.0014991591
			2)	ons	118	19114	0.0011206464
			3)	ona	232	10882	6.380074E-4
			4)	onc	378	6952	4.0759306E-4
			5)	ond	467	5889	3.4526977E-4
			6)	onh	750	3308	1.9394675E-4
			7)	onf	754	3274	1.9195334E-4
			8)	ong	967	2315	1.3572755E-4
			9)	onó	979	2286	1.3402729E-4
			10)	onv	1028	2111	1.2376711E-4
			11)	ono	1065	1982	1.1620389E-4
			12)	oni	1215	1500	8.794441E-5
			13)	onj	1294	1313	7.698068E-5
			14)	one	1503	921	5.3997872E-5
			15)	oná	1840	512	3.001836E-5
			16)	onu	2024	371	2.1751586E-5
			17)	oní	2116	314	1.8409697E-5
		4)	om	0	0	0.0
			1)	om_	108	20165	0.001182266
			2)	omo	165	15064	8.831964E-4
			3)	ome	272	9502	5.5709854E-4
			4)	omp	346	7678	4.5015814E-4
			5)	omu	465	5909	3.4644236E-4
			6)	omi	650	3967	2.3258367E-4
			7)	oma	911	2533	1.485088E-4
			8)	omí	1125	1812	1.06236854E-4
			9)	omb	1305	1297	7.6042605E-5
			10)	omé	1703	661	3.8754173E-5
			11)	omó	2267	240	1.4071106E-5
