Dutch	3	25042588	2919
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	922242	0.026537452
			2)	ens	84	55214	0.0015887792
			3)	end	96	51118	0.001470917
			4)	ent	103	48115	0.0013845059
			5)	ene	270	18253	5.2522885E-4
			6)	eni	285	17514	5.039642E-4
			7)	enk	357	14003	4.029354E-4
			8)	eno	398	13053	3.755992E-4
			9)	enw	584	8791	2.5296042E-4
			10)	eng	599	8561	2.463422E-4
			11)	enl	609	8431	2.4260145E-4
			12)	enh	691	7223	2.0784134E-4
			13)	ena	783	5938	1.7086555E-4
			14)	enn	1023	3741	1.0764702E-4
			15)	enb	1121	3158	9.087124E-5
			16)	enr	1139	3045	8.761967E-5
			17)	env	1279	2363	6.799517E-5
			18)	enz	1328	2200	6.3304855E-5
			19)	enm	1431	1860	5.3521377E-5
			20)	enu	1641	1337	3.8472084E-5
			21)	enp	1985	786	2.2617098E-5
			22)	enc	2365	423	1.2171797E-5
			23)	enf	2908	203	5.8413116E-6
		2)	et	0	0	0.0
			1)	et_	5	284124	0.008175649
			2)	ete	130	39750	0.0011438036
			3)	etr	282	17650	5.0787756E-4
			4)	ett	677	7458	2.1460345E-4
			5)	ets	881	5049	1.4528463E-4
			6)	etg	909	4713	1.3561625E-4
			7)	eta	966	4183	1.2036555E-4
			8)	eti	1347	2125	6.114673E-5
			9)	etw	1412	1907	5.48738E-5
			10)	eth	1613	1395	4.0141033E-5
			11)	eto	1650	1315	3.7839036E-5
			12)	etz	1893	917	2.6386613E-5
			13)	etu	2099	660	1.8991455E-5
			14)	etn	2309	471	1.3552994E-5
			15)	etj	2318	466	1.3409119E-5
			16)	etb	2505	358	1.0301426E-5
		3)	er	0	0	0.0
			1)	er_	9	182500	0.0052514253
			2)	ere	56	76255	0.0021942325
			3)	ers	58	73629	0.0021186695
			4)	erk	119	43140	0.0012413507
			5)	erd	121	42324	0.0012178703
			6)	eri	143	35847	0.001031495
			7)	erv	291	17168	4.9400807E-4
			8)	erg	311	16020	4.6097444E-4
			9)	ern	333	15051	4.330915E-4
			10)	ert	334	15045	4.3291887E-4
			11)	era	352	14196	4.0848894E-4
			12)	erh	375	13449	3.8699407E-4
			13)	erw	379	13382	3.8506615E-4
			14)	erz	399	13017	3.745633E-4
			15)	erb	401	12975	3.7335476E-4
			16)	erm	408	12755	3.6702427E-4
			17)	erl	457	11461	3.297895E-4
			18)	ero	489	10746	3.0921542E-4
			19)	erp	569	9018	2.5949234E-4
			20)	err	786	5914	1.7017496E-4
			21)	eru	984	3995	1.1495586E-4
			22)	erc	1716	1178	3.389687E-5
			23)	erf	1992	775	2.2300574E-5
			24)	erj	2708	266	7.654132E-6
		4)	ee	0	0	0.0
			1)	een	18	144407	0.004155302
			2)	eer	51	78502	0.0022588898
			3)	eel	153	34553	9.942603E-4
			4)	eef	200	26402	7.597158E-4
			5)	ee_	478	10988	3.1617898E-4
			6)	eed	487	10820	3.1134477E-4
			7)	eem	594	8668	2.494211E-4
			8)	ees	773	6054	1.7420345E-4
			9)	eek	1016	3785	1.0891312E-4
			10)	eet	1045	3619	1.0413648E-4
			11)	eeg	1659	1292	3.7177215E-5
			12)	eep	1906	891	2.5638465E-5
			13)	eeu	2134	629	1.8099432E-5
			14)	eeë	2200	563	1.6200287E-5
			15)	eev	2579	320	9.207979E-6
			16)	eeb	2779	240	6.905984E-6
		5)	el	0	0	0.0
			1)	eli	53	78179	0.0022495955
			2)	el_	77	59841	0.0017219208
			3)	ele	79	59617	0.0017154752
			4)	eld	180	30583	8.8002376E-4
			5)	ell	243	21288	6.125608E-4
			6)	ela	244	21153	6.086762E-4
			7)	elf	528	9999	2.8772056E-4
			8)	els	543	9699	2.7908807E-4
			9)	elk	675	7463	2.1474733E-4
			10)	elo	826	5581	1.605929E-4
			11)	elt	902	4808	1.3834987E-4
			12)	elu	1370	2039	5.867209E-5
			13)	elg	1486	1711	4.923391E-5
			14)	elp	1601	1419	4.083163E-5
			15)	eln	1603	1417	4.077408E-5
			16)	elm	1748	1128	3.2458123E-5
			17)	elh	1875	941	2.7077213E-5
			18)	elv	1933	859	2.4717667E-5
			19)	elz	1960	814	2.3422795E-5
			20)	elb	2089	666	1.9164105E-5
			21)	elr	2329	458	1.3178919E-5
			22)	elw	2403	405	1.1653848E-5
		6)	ei	0	0	0.0
			1)	eid	82	56258	0.0016188202
			2)	eit	275	17910	5.1535905E-4
			3)	ein	483	10913	3.1402084E-4
			4)	eil	660	7641	2.1986927E-4
			5)	eig	739	6479	1.864328E-4
			6)	eis	1092	3307	9.5158706E-5
			7)	eik	1120	3162	9.098634E-5
			8)	ei_	1149	3015	8.675642E-5
			9)	eie	1831	1005	2.8918808E-5
			10)	eiz	2224	542	1.5596013E-5
			11)	eim	2540	341	9.812252E-6
		7)	eg	0	0	0.0
			1)	ege	104	48114	0.0013844771
			2)	egi	395	13136	3.779875E-4
			3)	ega	514	10255	2.9508694E-4
			4)	egr	600	8532	2.4550772E-4
			5)	egd	610	8417	2.4219861E-4
			6)	egg	611	8411	2.4202596E-4
			7)	eg_	818	5650	1.6257838E-4
			8)	egt	1473	1753	5.0442457E-5
			9)	ego	1777	1096	3.1537325E-5
			10)	egu	2082	669	1.925043E-5
			11)	egv	2426	392	1.1279773E-5
			12)	egl	2625	296	8.517381E-6
		8)	ed	0	0	0.0
			1)	ede	105	47541	0.0013679891
			2)	ed_	373	13456	3.871955E-4
			3)	edi	391	13183	3.7933994E-4
			4)	edr	696	7164	2.0614362E-4
			5)	eds	726	6677	1.9213023E-4
			6)	eda	849	5336	1.5354305E-4
			7)	edu	1005	3861	1.1110002E-4
			8)	edo	1384	1994	5.7377216E-5
			9)	edt	1685	1225	3.5249293E-5
			10)	edk	1733	1153	3.3177497E-5
			11)	edg	1828	1010	2.9062683E-5
			12)	edw	2383	415	1.1941597E-5
			13)	edd	2524	348	1.0013677E-5
			14)	edz	2548	338	9.725927E-6
		9)	es	0	0	0.0
			1)	est	123	41327	0.0011891817
			2)	es_	191	28759	8.275383E-4
			3)	esc	423	12363	3.557445E-4
			4)	esl	526	10017	2.8823852E-4
			5)	esp	729	6656	1.9152595E-4
			6)	eso	1055	3576	1.0289916E-4
			7)	ess	1155	2979	8.572052E-5
			8)	ese	1278	2367	6.811027E-5
			9)	esu	1324	2226	6.4053E-5
			10)	esi	1489	1700	4.8917387E-5
			11)	esm	2190	571	1.6430487E-5
			12)	esk	2208	557	1.6027638E-5
			13)	esb	2356	431	1.2401996E-5
			14)	esa	2446	379	1.09057E-5
			15)	esd	2464	373	1.073305E-5
			16)	esv	2484	367	1.05604E-5
			17)	esy	2557	332	9.553278E-6
			18)	esn	2815	226	6.503135E-6
		10)	ez	0	0	0.0
			1)	eze	129	39782	0.0011447244
			2)	ezi	520	10154	2.9218066E-4
			3)	ezo	927	4584	1.319043E-4
			4)	eza	1639	1340	3.855841E-5
			5)	ezw	2160	605	1.7408835E-5
		11)	ev	0	0	0.0
			1)	eve	133	39584	0.001139027
			2)	evo	310	16023	4.6106076E-4
			3)	eva	418	12529	3.6052114E-4
			4)	evr	560	9130	2.6271513E-4
			5)	evi	720	6787	1.9529548E-4
		12)	ec	0	0	0.0
			1)	ech	149	35219	0.0010134244
			2)	ect	376	13429	3.8641857E-4
			3)	eco	567	9046	2.6029805E-4
			4)	eci	1065	3491	1.0045329E-4
			5)	ece	1395	1944	5.593847E-5
			6)	ecr	2030	717	2.0631627E-5
			7)	ecu	2553	336	9.668378E-6
			8)	ecy	2847	219	6.3017105E-6
			9)	eca	2875	211	6.071511E-6
		13)	em	0	0	0.0
			1)	eme	150	35107	0.0010102015
			2)	ema	517	10225	2.942237E-4
			3)	em_	597	8609	2.477234E-4
			4)	emm	741	6410	1.8444732E-4
			5)	emi	776	6034	1.7362795E-4
			6)	emo	829	5557	1.5990231E-4
			7)	emd	946	4324	1.244228E-4
			8)	emt	1312	2263	6.5117674E-5
			9)	emb	1469	1760	5.064388E-5
			10)	emp	2177	586	1.686211E-5
			11)	emv	2737	256	7.3663828E-6
		14)	ek	0	0	0.0
			1)	eke	160	32325	9.301497E-4
			2)	ek_	435	12095	3.4803283E-4
			3)	ekk	652	7767	2.234949E-4
			4)	eko	663	7579	2.1808522E-4
			5)	ekt	913	4698	1.3518463E-4
			6)	eks	949	4314	1.2413505E-4
			7)	ekr	1708	1185	3.4098295E-5
			8)	eki	1932	864	2.4861542E-5
			9)	ekw	2256	514	1.4790316E-5
			10)	ekl	2392	409	1.1768948E-5
			11)	eka	2578	320	9.207979E-6
		15)	ef	0	0	0.0
			1)	eft	169	31548	9.077916E-4
			2)	eff	692	7193	2.0697809E-4
			3)	ef_	748	6326	1.8203023E-4
			4)	efe	1314	2254	6.48587E-5
			5)	efi	1408	1924	5.5362972E-5
			6)	efo	2012	738	2.1235901E-5
			7)	efd	2041	708	2.0372652E-5
			8)	efs	2635	293	8.431055E-6
			9)	efa	2839	221	6.35926E-6
		16)	eb	0	0	0.0
			1)	ebb	231	22288	6.4133573E-4
			2)	ebr	502	10484	3.016764E-4
			3)	ebi	674	7465	2.1480488E-4
			4)	eb_	745	6379	1.835553E-4
			5)	eba	755	6287	1.80908E-4
			6)	ebe	885	5035	1.448818E-4
			7)	ebo	1352	2087	6.0053284E-5
			8)	ebl	1982	788	2.2674647E-5
			9)	ebt	2083	669	1.925043E-5
			10)	ebu	2468	372	1.0704275E-5
		17)	eu	0	0	0.0
			1)	eur	302	16490	4.7449864E-4
			2)	euw	538	9816	2.8245474E-4
			3)	eun	618	8339	2.3995417E-4
			4)	eu_	1512	1628	4.684559E-5
			5)	eug	1572	1486	4.275955E-5
			6)	euz	1593	1432	4.1205705E-5
			7)	eus	1799	1063	3.0587755E-5
			8)	eub	1997	772	2.2214248E-5
			9)	eut	2071	678	1.9509405E-5
			10)	euk	2137	626	1.8013108E-5
			11)	eui	2258	511	1.4703991E-5
			12)	euv	2463	373	1.073305E-5
			13)	eua	2838	221	6.35926E-6
		18)	ep	0	0	0.0
			1)	epa	570	9000	2.589744E-4
			2)	epe	671	7481	2.1526527E-4
			3)	ept	1205	2723	7.835414E-5
			4)	epr	1238	2575	7.409545E-5
			5)	ep_	1258	2469	7.104531E-5
			6)	epl	1545	1561	4.491767E-5
			7)	eps	1972	796	2.2904847E-5
			8)	epu	2275	501	1.4416241E-5
			9)	epp	2326	459	1.3207694E-5
			10)	epo	2655	284	8.172081E-6
			11)	epi	2659	283	8.143306E-6
			12)	epg	2917	201	5.7837615E-6
		19)	ew	0	0	0.0
			1)	ewe	581	8816	2.536798E-4
			2)	ewo	1112	3206	9.2252434E-5
			3)	ewi	1241	2561	7.36926E-5
			4)	ewa	1577	1472	4.23567E-5
			5)	ewu	1862	961	2.765271E-5
		20)	eh	0	0	0.0
			1)	eho	730	6651	1.9138207E-4
			2)	eha	813	5681	1.634704E-4
			3)	ehe	854	5296	1.5239205E-4
			4)	ehu	2677	277	7.970656E-6
		21)	ea	0	0	0.0
			1)	eau	1077	3391	9.75758E-5
			2)	eac	1089	3323	9.56191E-5
			3)	eal	1622	1374	3.9536757E-5
			4)	ean	1970	798	2.2962397E-5
			5)	eag	2068	680	1.9566955E-5
			6)	eam	2580	320	9.207979E-6
			7)	eai	2601	309	8.891454E-6
			8)	ea_	2673	279	8.028206E-6
			9)	ear	2840	221	6.35926E-6
		22)	ex	0	0	0.0
			1)	ext	1289	2333	6.713192E-5
			2)	exp	1675	1253	3.6054993E-5
			3)	exi	2095	662	1.9049006E-5
			4)	exc	2531	346	9.956127E-6
			5)	exe	2648	288	8.287181E-6
		23)	eë	0	0	0.0
			1)	eën	1481	1732	4.9838185E-5
			2)	eër	2027	719	2.0689176E-5
			3)	eëe	2245	522	1.5020515E-5
			4)	eëi	2308	471	1.3552994E-5
