Finnish	3	237814850	4148
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	3769962	0.012624116
			2)	ent	100	442174	0.0014806663
			3)	ene	263	222849	7.462334E-4
			4)	enk	304	199729	6.6881365E-4
			5)	enn	345	181188	6.0672715E-4
			6)	ens	433	144576	4.84128E-4
			7)	env	458	138452	4.6362114E-4
			8)	eni	744	80528	2.696565E-4
			9)	ena	751	79385	2.6582906E-4
			10)	enä	835	67938	2.2749756E-4
			11)	enj	893	60532	2.0269779E-4
			12)	enp	1161	38931	1.3036455E-4
			13)	enm	1344	27484	9.203307E-5
			14)	eno	1423	23179	7.7617326E-5
			15)	enh	1881	9850	3.2983764E-5
			16)	enl	1918	9353	3.131951E-5
			17)	eng	2042	7495	2.50978E-5
			18)	eny	2090	6963	2.3316341E-5
			19)	enr	2309	4832	1.6180462E-5
			20)	en 	2349	4447	1.4891249E-5
			21)	enu	2495	3383	1.1328332E-5
			22)	end	3192	948	3.174478E-6
			23)	en�	3705	405	1.3561852E-6
			24)	enc	3831	336	1.1251315E-6
			25)	en”	4116	209	6.9985856E-7
		2)	et	0	0	0.0
			1)	ett	12	1255916	0.0042055673
			2)	et_	76	540054	0.0018084279
			3)	eta	449	140483	4.7042215E-4
			4)	eti	519	121390	4.0648723E-4
			5)	etu	603	102289	3.425255E-4
			6)	ete	670	92037	3.081956E-4
			7)	etä	686	90322	3.0245274E-4
			8)	eto	795	71840	2.4056382E-4
			9)	ety	1156	39332	1.3170735E-4
			10)	etk	1363	26564	8.895236E-5
			11)	ets	1792	11539	3.863956E-5
			12)	etr	2527	3209	1.0745675E-5
			13)	etn	2529	3169	1.0611731E-5
			14)	etj	2821	1859	6.225058E-6
			15)	etö	2832	1836	6.1480396E-6
			16)	et 	4107	212	7.099044E-7
			17)	eth	4113	210	7.0320715E-7
		3)	es	0	0	0.0
			1)	est	26	906607	0.0030358692
			2)	ess	134	366244	0.0012264067
			3)	esi	224	241850	8.0986024E-4
			4)	esk	399	159128	5.328569E-4
			5)	es_	432	144832	4.8498524E-4
			6)	ese	1291	29861	9.999271E-5
			7)	esä	1894	9587	3.2103082E-5
			8)	esu	2107	6824	2.2850883E-5
			9)	eso	2689	2392	8.009864E-6
			10)	esp	2712	2267	7.5912885E-6
			11)	esa	2918	1572	5.264008E-6
			12)	esv	3782	358	1.1988008E-6
			13)	esm	3951	271	9.074721E-7
			14)	esb	4097	214	7.1660156E-7
		4)	ee	0	0	0.0
			1)	een	44	689883	0.002310146
			2)	eet	256	226168	7.573474E-4
			3)	ees	577	107707	3.6066826E-4
			4)	ee_	580	107512	3.6001528E-4
			5)	eel	597	103155	3.454254E-4
			6)	eem	1585	16558	5.544621E-5
			7)	eek	1593	16419	5.4980756E-5
			8)	eer	1821	10903	3.6509846E-5
			9)	eeh	4122	208	6.9650997E-7
		5)	el	0	0	0.0
			1)	ell	47	661165	0.0022139808
			2)	elm	245	231467	7.750917E-4
			3)	elu	286	205919	6.895415E-4
			4)	eli	299	201051	6.732405E-4
			5)	ele	342	183136	6.1325025E-4
			6)	elt	418	148332	4.9670535E-4
			7)	elä	622	99515	3.3323647E-4
			8)	elv	700	88059	2.9487486E-4
			9)	ely	755	79242	2.653502E-4
			10)	elk	969	54035	1.809419E-4
			11)	elp	1470	21322	7.1398965E-5
			12)	elo	1626	15838	5.3035215E-5
			13)	elj	1768	11999	4.017992E-5
			14)	el_	1938	9121	3.054263E-5
			15)	ela	1939	9113	3.0515843E-5
			16)	els	3216	907	3.0371853E-6
			17)	elg	3379	706	2.3641155E-6
			18)	elö	4033	237	7.936195E-7
			19)	eld	4070	224	7.500876E-7
		6)	ei	0	0	0.0
			1)	eis	105	425992	0.0014264792
			2)	ei_	173	286776	9.602997E-4
			3)	eid	204	262234	8.781182E-4
			4)	eit	358	176432	5.908012E-4
			5)	eil	466	136804	4.5810262E-4
			6)	ein	613	100720	3.3727154E-4
			7)	eik	746	79864	2.6743303E-4
			8)	eiv	896	60457	2.0244664E-4
			9)	eim	1535	18541	6.2086496E-5
			10)	eih	1690	13853	4.638823E-5
			11)	eij	2372	4321	1.4469324E-5
			12)	eir	2856	1751	5.863408E-6
			13)	eip	3435	639	2.1397589E-6
			14)	eiä	3606	477	1.5972848E-6
			15)	eii	3914	292	9.777929E-7
		7)	em	0	0	0.0
			1)	emm	141	341780	0.0011444864
			2)	emi	316	195015	6.530283E-4
			3)	ema	581	107447	3.5979762E-4
			4)	emp	926	57186	1.9149335E-4
			5)	emo	1067	45509	1.5239169E-4
			6)	emä	1089	43897	1.4699374E-4
			7)	emu	1628	15791	5.287783E-5
			8)	emy	1750	12482	4.1797295E-5
			9)	eme	2457	3680	1.2322868E-5
			10)	emr	3643	448	1.5001752E-6
			11)	emb	3684	418	1.3997171E-6
		8)	er	0	0	0.0
			1)	eri	166	292153	9.783051E-4
			2)	eru	422	147392	4.9355766E-4
			3)	erk	501	126857	4.2479404E-4
			4)	err	854	64448	2.1581093E-4
			5)	ert	856	64381	2.1558657E-4
			6)	ero	1063	46025	1.5411957E-4
			7)	erä	1079	44796	1.5000414E-4
			8)	erv	1177	37800	1.2657729E-4
			9)	erg	1216	34754	1.16377436E-4
			10)	era	1338	27816	9.314481E-5
			11)	ere	1347	27286	9.137005E-5
			12)	erh	1846	10592	3.546843E-5
			13)	ery	2264	5224	1.7493116E-5
			14)	ers	2521	3230	1.0815996E-5
			15)	ern	2545	3101	1.0384026E-5
			16)	erö	2654	2533	8.482018E-6
			17)	erm	2682	2408	8.063442E-6
			18)	erj	2931	1523	5.099926E-6
			19)	erb	2955	1466	4.909056E-6
			20)	er_	3075	1143	3.827456E-6
			21)	erd	3463	610	2.0426494E-6
			22)	erl	3979	259	8.672888E-7
		9)	ev	0	0	0.0
			1)	eva	279	215548	7.2178524E-4
			2)	evi	688	90148	3.0187008E-4
			3)	evä	1105	42733	1.4309595E-4
			4)	eve	2175	6086	2.0379613E-5
			5)	evy	2581	2886	9.664075E-6
			6)	evo	2735	2183	7.310006E-6
			7)	evu	3258	846	2.8329202E-6
			8)	evö	4130	205	6.8646415E-7
		10)	eh	0	0	0.0
			1)	ehd	336	186344	6.239925E-4
			2)	ehi	609	101784	3.4083446E-4
			3)	eht	668	92325	3.0916E-4
			4)	eho	910	58723	1.9664016E-4
			5)	ehk	1474	21117	7.07125E-5
			6)	ehn	1606	16222	5.4321077E-5
			7)	ehe	1689	13957	4.6736488E-5
			8)	ehy	1985	8413	2.8171818E-5
			9)	ehu	2422	3927	1.3149974E-5
			10)	eha	2601	2792	9.349306E-6
			11)	ehä	2652	2570	8.605916E-6
			12)	ehm	3007	1342	4.493829E-6
		11)	eu	0	0	0.0
			1)	eur	362	174389	5.8396E-4
			2)	euv	465	137261	4.5963295E-4
			3)	eut	563	111706	3.7405934E-4
			4)	eus	923	57465	1.9242761E-4
			5)	eud	928	57159	1.9140294E-4
			6)	euk	955	55349	1.8534197E-4
			7)	eun	2054	7353	2.4622297E-5
			8)	eu_	2476	3532	1.1827275E-5
			9)	euu	2772	2014	6.7440915E-6
			10)	eul	3053	1198	4.0116292E-6
			11)	euh	3900	298	9.978844E-7
		12)	ek	0	0	0.0
			1)	eks	366	173894	5.823024E-4
			2)	ekä	657	93922	3.1450772E-4
			3)	eki	865	63210	2.1166535E-4
			4)	ekt	976	53545	1.7930109E-4
			5)	eke	1047	47376	1.5864354E-4
			6)	eko	1355	26804	8.9756024E-5
			7)	ekn	1370	26062	8.727136E-5
			8)	eka	1629	15739	5.27037E-5
			9)	ekk	2018	8000	2.6788844E-5
			10)	ekö	2646	2586	8.659494E-6
			11)	eku	2664	2465	8.254313E-6
			12)	ekr	3132	1045	3.4992927E-6
			13)	eky	3421	659	2.206731E-6
			14)	ekp	3856	320	1.0715538E-6
		13)	ed	0	0	0.0
			1)	ede	640	96736	3.239307E-4
			2)	edi	901	59629	1.99674E-4
			3)	edu	1080	44762	1.4989029E-4
			4)	edo	1171	38072	1.274881E-4
			5)	edä	1342	27517	9.214358E-5
			6)	ed_	4095	216	7.232988E-7
			7)	edy	4098	214	7.1660156E-7
		14)	ea	0	0	0.0
			1)	ea_	883	61492	2.0591245E-4
			2)	eas	1391	24758	8.290478E-5
			3)	ean	1528	18603	6.229411E-5
			4)	eaa	1619	16034	5.369154E-5
			5)	eam	1625	15842	5.304861E-5
			6)	eal	1698	13626	4.5628098E-5
			7)	eat	2115	6787	2.2726985E-5
			8)	eak	2266	5195	1.7396005E-5
			9)	eai	2371	4324	1.447937E-5
			10)	eag	2456	3687	1.2346309E-5
			11)	eav	2834	1825	6.111205E-6
			12)	ear	3207	925	3.0974602E-6
			13)	eaj	3517	560	1.8752191E-6
			14)	eap	3709	403	1.349488E-6
		15)	ep	0	0	0.0
			1)	epä	943	56249	1.8835571E-4
			2)	epo	2195	5888	1.971659E-5
			3)	epa	2496	3374	1.1298195E-5
			4)	epi	2705	2306	7.721885E-6
			5)	ept	3106	1091	3.6533286E-6
			6)	epp	3237	877	2.936727E-6
			7)	epe	3640	450	1.5068725E-6
			8)	epu	3682	419	1.4030658E-6
		16)	eä	0	0	0.0
			1)	eää	1081	44516	1.4906652E-4
			2)	eä_	1247	32652	1.0933867E-4
			3)	eäs	1701	13515	4.52564E-5
			4)	eän	1791	11543	3.8652954E-5
			5)	eäm	2105	6839	2.2901113E-5
			6)	eät	2436	3811	1.2761536E-5
			7)	eäl	2608	2752	9.215362E-6
			8)	eäk	3316	770	2.5784263E-6
		17)	ey	0	0	0.0
			1)	eyd	1111	42503	1.4232578E-4
			2)	eyt	1574	17078	5.7187484E-5
			3)	eys	1811	11181	3.7440757E-5
			4)	eyk	2437	3807	1.2748141E-5
			5)	eyh	2983	1397	4.678002E-6
			6)	eyr	3257	847	2.8362688E-6
			7)	eyn	3713	402	1.3461395E-6
			8)	ey_	4094	216	7.232988E-7
			9)	eye	4134	204	6.831155E-7
		18)	ej	0	0	0.0
			1)	eja	1240	33150	1.1100627E-4
			2)	ejä	1650	15160	5.076486E-5
		19)	eg	0	0	0.0
			1)	egi	1261	32004	1.0716877E-4
			2)	ega	1297	29625	9.9202436E-5
			3)	ego	1920	9337	3.126593E-5
			4)	egr	2356	4398	1.4727167E-5
			5)	egy	3811	346	1.1586175E-6
		20)	eo	0	0	0.0
			1)	eol	1365	26333	8.817883E-5
			2)	eoh	2439	3795	1.2707958E-5
			3)	eoi	2505	3338	1.1177645E-5
			4)	eon	2710	2270	7.6013343E-6
			5)	eos	2802	1923	6.4393685E-6
			6)	eor	2808	1897	6.352305E-6
			7)	eot	3140	1026	3.4356692E-6
			8)	eop	3210	916	3.0673227E-6
			9)	eok	3385	703	2.3540697E-6
		21)	ec	0	0	0.0
			1)	ecu	2742	2130	7.13253E-6
			2)	eco	4069	225	7.5343627E-7
			3)	ech	4075	222	7.4339044E-7
			4)	ecr	4128	206	6.8981274E-7
		22)	eb	0	0	0.0
			1)	eba	3859	318	1.0648565E-6
		23)	ef	0	0	0.0
			1)	efo	4027	239	8.0031674E-7
	2)	t	0	0	0.0
		1)	ta	0	0	0.0
			1)	ta_	2	2009541	0.00672916
			2)	taa	31	816958	0.00273567
			3)	tav	70	555508	0.0018601771
			4)	tam	110	419012	0.0014031059
			5)	tar	154	305819	0.0010240672
			6)	tai	186	274924	9.20612E-4
			7)	tan	330	188040	6.296718E-4
			8)	tal	346	180261	6.03623E-4
			9)	taj	381	168163	5.6311156E-4
			10)	tap	545	115603	3.8710886E-4
			11)	tas	646	95361	3.1932638E-4
			12)	tak	742	80976	2.711567E-4
			13)	tau	823	69076	2.3130828E-4
			14)	tat	1163	38891	1.3023062E-4
			15)	tae	1356	26765	8.962543E-5
			16)	tah	1440	22444	7.51561E-5
			17)	tao	2190	5929	1.9853882E-5
