Dutch	3	50226963	3424
	1)	e	0	0	0.0
		1)	en	0	0	0.0
			1)	en_	1	1852289	0.026656684
			2)	ens	84	111679	0.0016071962
			3)	end	97	102246	0.0014714438
			4)	ent	102	96505	0.0013888238
			5)	ene	265	37927	5.458155E-4
			6)	eni	287	35012	5.038651E-4
			7)	enk	366	27409	3.9444873E-4
			8)	eno	399	25919	3.730058E-4
			9)	enw	574	17944	2.582359E-4
			10)	enl	595	17263	2.4843548E-4
			11)	eng	602	17081	2.4581628E-4
			12)	enh	717	13733	1.9763451E-4
			13)	ena	792	11713	1.6856426E-4
			14)	enn	1049	7115	1.02393475E-4
			15)	enb	1094	6506	9.362922E-5
			16)	enr	1158	5885	8.469228E-5
			17)	env	1276	4789	6.8919515E-5
			18)	enz	1297	4641	6.678962E-5
			19)	enm	1461	3575	5.1448584E-5
			20)	enu	1605	2815	4.0511262E-5
			21)	enp	2017	1465	2.1083126E-5
			22)	enc	2381	834	1.20022705E-5
			23)	enf	2886	411	5.914788E-6
		2)	et	0	0	0.0
			1)	et_	5	567733	0.008170365
			2)	ete	129	80229	0.0011545925
			3)	etr	275	36098	5.1949394E-4
			4)	ett	672	14815	2.132058E-4
			5)	ets	869	10290	1.4808557E-4
			6)	etg	879	10171	1.4637302E-4
			7)	eta	989	7959	1.1453965E-4
			8)	eti	1288	4703	6.768187E-5
			9)	etw	1427	3754	5.4024607E-5
			10)	eth	1538	3154	4.5389883E-5
			11)	eto	1636	2687	3.8669186E-5
			12)	etz	1865	1900	2.7343302E-5
			13)	etu	2045	1390	2.0003785E-5
			14)	etj	2348	880	1.2664266E-5
			15)	etn	2472	744	1.0707062E-5
			16)	etb	2502	712	1.0246543E-5
			17)	etv	3105	308	4.4324934E-6
			18)	etm	3416	202	2.9070247E-6
		3)	er	0	0	0.0
			1)	er_	9	364927	0.0052517415
			2)	ere	57	152127	0.0021892919
			3)	ers	60	144517	0.0020797749
			4)	erk	119	86222	0.001240839
			5)	erd	121	84940	0.0012223895
			6)	eri	146	70764	0.0010183797
			7)	erv	293	34309	4.9374806E-4
			8)	erg	314	31533	4.5379807E-4
			9)	ern	328	30738	4.4235706E-4
			10)	ert	343	29336	4.221806E-4
			11)	era	348	28708	4.131429E-4
			12)	erh	368	27246	3.9210296E-4
			13)	erw	371	27118	3.902609E-4
			14)	erz	394	26052	3.7491985E-4
			15)	erb	398	25964	3.7365343E-4
			16)	erm	427	24575	3.53664E-4
			17)	erl	457	22916	3.29789E-4
			18)	ero	495	21319	3.0680624E-4
			19)	erp	570	17968	2.585813E-4
			20)	err	751	12709	1.8289791E-4
			21)	eru	995	7890	1.1354666E-4
			22)	erc	1766	2210	3.180458E-5
			23)	erf	2023	1449	2.0852865E-5
			24)	erj	2661	568	8.174208E-6
		4)	ee	0	0	0.0
			1)	een	18	290581	0.0041818125
			2)	eer	50	156963	0.0022588877
			3)	eel	153	68067	9.795666E-4
			4)	eef	198	52692	7.5830176E-4
			5)	ee_	470	22523	3.2413326E-4
			6)	eed	471	22501	3.2381667E-4
			7)	eem	627	16300	2.3457676E-4
			8)	ees	773	12201	1.7558718E-4
			9)	eek	1007	7739	1.11373585E-4
			10)	eet	1055	7016	1.0096874E-4
			11)	eeg	1692	2452	3.5287252E-5
			12)	eep	1877	1860	2.6767653E-5
			13)	eeë	2147	1221	1.7571669E-5
			14)	eeu	2176	1159	1.6679414E-5
			15)	eev	2624	595	8.562771E-6
			16)	eeb	2761	479	6.8933905E-6
			17)	eeh	3101	310	4.4612757E-6
			18)	eew	3211	271	3.9000183E-6
		5)	el	0	0	0.0
			1)	eli	52	156169	0.0022474611
			2)	el_	77	119302	0.0017169004
			3)	ele	79	118653	0.0017075605
			4)	eld	178	61312	8.82354E-4
			5)	ell	237	43439	6.2513986E-4
			6)	ela	244	42518	6.1188557E-4
			7)	elf	526	20000	2.8782422E-4
			8)	els	543	19451	2.7992346E-4
			9)	elk	671	14837	2.135224E-4
			10)	elo	794	11680	1.6808935E-4
			11)	elt	922	9241	1.3298918E-4
			12)	elu	1394	3939	5.6686982E-5
			13)	elg	1511	3280	4.7203175E-5
			14)	eln	1596	2848	4.098617E-5
			15)	elp	1612	2799	4.0281E-5
			16)	elm	1823	2027	2.9170986E-5
			17)	elv	1896	1821	2.6206397E-5
			18)	elh	1902	1803	2.5947355E-5
			19)	elz	1965	1611	2.3184242E-5
			20)	elb	2054	1372	1.9744743E-5
			21)	elw	2269	1000	1.4391212E-5
			22)	elr	2423	794	1.1426622E-5
			23)	elj	2991	356	5.1232714E-6
		6)	ei	0	0	0.0
			1)	eid	81	115264	0.0016587886
			2)	eit	278	36010	5.182275E-4
			3)	ein	494	21417	3.0821658E-4
			4)	eil	654	15495	2.2299183E-4
			5)	eig	742	13021	1.8738797E-4
			6)	eik	1080	6734	9.691042E-5
			7)	eis	1110	6359	9.151371E-5
